,student_id,question_id,text,gender,native_language,question
45662,br1,6056,I take a shower while getting out bed.,,,Sentence two:
37173,gu1,5028,"

        I probably say the worst meal that I ever have was when me and
        a friend took walks to the mountains for the entire day. We 
        both deside out of the blue in any day to go for a walk, and so 
        we go back inside our house just to get the proper atire. Just 
        so you know my hometown is about 25 miles away from the volcano
        Xinantecalt (aztec name) now known as Nevado de Toluca. Continuing
        with the wors meal in one of these walks to the mountains we usually 
        go for hours but we always mange to be back in home by late 6 pm not 
        this time. Anyhow that date we jogged the mountains for long time
        and it was almost 7 pm and we were feeling very hungry, so we deside
        to aproach a little town by the forest and ask for a bite of food, but 
        we only find a kid. I ask the kid for food and he said the only thing 
        I can offer to you are tortillas we were so hungry we said we take 
        along, with some wild vegetables we find we make vegetables wraps 
        and that for me was the worst meal I ever have, yet the best also in 
        the circuntances that we were. ",Male,Spanish,above
21983,gm5,3010,"  There are strange people in the USA, the Amish people I met them on their area are a good example.  I went to their village in Pennsylvania and saw a lot of strange things, I didn't see any cars, and there are lots of horse cars. I went to someone's home to ask him about there life, they were wearing the same clothes and not there any electricity.  Then, I wanted to take a picture for them they refused take any picture.  Next, I wanted to phone my friend, they told me there is not any phone here.  Finally, when I wanted to leave they were very kind, but I didn't believe there any people as Amish people.      ",Male,Arabic,"Write one paragraph.  Your topic sentence should be a general statement about the U. S., Pittsburgh, or the ELI.  Support your topic sentence with a personal experience.  (You will write only one draft of this paragraph.)"
9514,bl7,1433,No problem. Go ahead.,Female,Chinese,Your uncle says:
20574,ch1,2854,"There are many different climates in the world. Some people never seen snow because they have been living in desert. According to Koeppen's Climate Classification, Fao-SDRN,   Agromenteorology Group-1997, "" These desert climates are found in low-latitude deserts approximately between 18° to 28° in both hemispheres. These latitude belts are centered on the tropics of Cancer and Capricorn, which lie just north and south of the equator. They coincide with the edge of the equatorial subtropical high pressure belt and trade winds. Winds are light, which allows for the evaporation of moisture in the intense heat. They generally flow downward so the area is seldom penetrated by air masses that produce rain. This makes for a very dry heat. The dry arid desert is a true desert climate, and covers 12 % of the Earth's land surface.""  It is undoubtedly true that the climate effect people several ways. For example it effects people's emotion, countries' economy, and people's clothes style.
The first affect is people's emotion. One of the most important reasons of being optimistic or pessimistic is climate. The range of optimistic people in America is above world's average because America has wonderful climate. Thank to wonderful climate American people look future with great happiness. Unlike American people, England people are almost pessimistic because of rain. The weather of England usually dims so England people can not get sufficient sun. The range of pessimistic people in England is above world's average.
On the other hand, climate effects countries' economy. Some country's economy depends on agriculture, other one depends on tourism because of climate.   For example, wheat harvest need warm climate for this reason you can not plant wheat if you live in cold climate or in hot climate. Some countries' climate suitable for planting vegetable and their economy depends on agriculture. Addition, if some counties have hot climate and also have a lot of beaches their economy depend on tourism. 
Another affect is people clothes' styles. Some people have to wear boat, coat, hat, and glove because the climate is so cold. They need these clothes to survive their lives. Although some people have to wear coat, some people prefer wearing shorts because they live in hot climate areas.
In conclusion, it is true that there are many climates on earth and climate that influence people's life and we can not change the effect of climate. Therefore people have to adjust  climate where they live.  


",Female,Turkish,"Write your cause and effect essay revision. You MUST include one (1) quotation and reference within the text of your essay and proper citation at the end. FORM is important: use the handouts to help you. Try to also use 2 of the ELI core vocabulary words. You will have the entire class to complete this assignment; this is revision exercise, so be sure to allow time to check your writing before submitting it."
44562,au8,5931,"F
I am studying Enlgish in Pittsburgh.",,,[C / F]  I studying English in Pittsburgh.
27372,bu1,3825,"(Bill Rausk & Lisa Johnson, 2003, p.45)

",Female,Japanese,"Here's a citation of a book written by two authors, but it's not correct. Fix the part in parentheses.

The economic downturn of the 1890s was particularly severe and helped us to usher in the Progressive Era of American politics (page 45, 2003, Bill Rausk and Lise Johnson)."
38971,gk4,5203,what is the most challenge exercise in Grammar class ,Male,Arabic,I have always wondered what....
33521,ah5,4480,"The Effects of Self-Medication in Brazil
 
""All things are poison and nothing is without poison, only the dose permits something not to be poisonous"" (Paracelsus, 1493-1541). In other words, the difference between a medication and a poison is the dose. This is the main problem in self-medication and the principal reason behind numerous deaths every year in Brazil. Self-medication is the use of medications without a prescription or medical advice. According to the World Healthy Organization (WHO), more than 10 percent of medical hospitalizations are attributed to reactions or side effects of medications. In addition to that, in Brazil, every year 20,000 people die from the wrong use of medications according to the National System of Toxic-Pharmacology Information (Sinitox).  The principal reason for these deaths is self-medication. Data from Abifarma (Brazilian Association of Pharmacies) show that around 80 million people consume medication without prescription or medical advice in Brazil. According to WHO, some effects of self-medication are: delay in diagnoses, wrong treatment, incorrect administration of the medication, use of the inadequate dosage or excessive dosage, excessive or short period of treatment, addiction or abstinence symptoms, potential side effects and allergic reactions, bacterial resistance, and interactions with other medications which the person have taken. All these effects listed are hazardous, and can lead to complications, as well as, death.
Thus self-medication can disguise or delay diagnoses, especially when the disease show acute symptoms. An example of that is the use of OTC medications, such as Prilosec (Omeprazole) to treat heartburn. Even though the symptoms decrease or stop, the real disease, which was the cause of the symptoms were not discovered, and also, the diagnostic of a possible gastric or intestinal tumor was retarded, and consequently, could lead to a poor prognosis of the illness.
Consequently, potential side effects caused by excessive use of medications can be harmful and cause serious health problems. For example, an abusive use of painkiller medications such as Tylenol (Acetaminophen) can cause liver failure. Usually, people who take medications for treat pain or fever can take an excessive dosage of acetaminophen due to the use of different medications containing the drug acetaminophen. As a result, people can have increased the total dosage and, due to the toxic effect of acetaminophen in the liver, liver failure can be induced.
Otherwise, in Brazil, it is possible to buy antibiotics without a prescription in some drugstores. According to the National Agency of Sanitary Vigilance (ANVISA), 50 percent of antibiotics are sold without a prescription. Consequently, self-medication is stimulated and, because of that, people have trivialized the use of antibiotics. Usually, the treatment does not follow guidance and as soon as the symptoms stop or decrease, the parents stop given the medication for their children. As a result of the wrong use of antibiotics, some bacteria can become resistant and the treatment can be ineffective in the future.
The use of natural medications made from plants is very popular in Brazil. However, being natural is not similar to being safe. Most Brazilians believe that taken natural medication is secure and totally safe. Subsequently, people commonly make the mistake of exceed the use of these products doing self-medication. Several kinds of natural medications are potentially toxic for some organs such as the liver and kidney. Some of them can cause abortion, bleeding, and death is possible.
In addition to that, interactions between medications are typical when people do self-medication, especially with elderly people. In general, elderly people take prescriptions medications for chronic diseases, and the use of other medication without prescriptions is typical. According to Marianela Flores Hekman, President of the Brazilian Society of Gerontology and Geriatrics  (SBGG), self-medication can cause destabilization of the treatments of chronic diseases and toxic effects. According to her, 44% of 2,019 patients admitted to use medications without medical advice.  
In 2009, the National Agency of Sanitary Vigilance (ANVISA) was especially concerned about self-medication, in particular, the use of painkillers and fever reduce medications. These kind of medications can disguise and delay diagnoses of H1N1 flu. The H1N1 flu is a new disease and according specialists, diagnoses can be misinterpreted when people take medication without prescription for release the symptoms of a common flu. In result of that, ANVISA suspended advertisement of this kind of medication in Brazil in attempt to reduce the consume of these drugs.
In the final analysis, self-medication induces tremendous effects in people's health and is an enormous public health concern in Brazil. Around 80 million Brazilians use self-medication to treat their diseases and because of that, numerous side effects are generated. The most important effects are disguise symptoms, diagnosis delay, and interactions between medications. All these effects can culminate in poor prognosis and death. However, the real statistics of the effects of the use of medications without prescriptions are not accurately known because of the difficulties in collecting information and reporting the problems to ANVISA. The Brazilian government needs to emphasize the importance of the correct use of medications and give information to people about the harmfulness of self-medication. In addition, the government needs to provide access to doctors and hospitals to minimize self-medication. 
 
 
 
 
 
 
 
 
 



Bibliography
Unknown author (2001. )Automedicação. Rev. Assoc. Med. Bras, vol.47 (4), pp. 269-270.
Giancarlo Lourenço Matias. Os perigos da automedicação (2001).ANON_URLPAGE Ackermann (2007). Automedicação traz riscos à saúde. O Globo at ANON_URLPAGE Gigliotti (2009). Os riscos da automedicação. JB online at ANON_URLPAGE
",Female,Portuguese,x
38088,dx6,5167,soak into,,,"Understanding Vocabulary in Context 
According to the text, what is a synonym for 'penetrate'?"
33796,cs7,4492,"   Yes, because my day will be orgnize.",Female,Arabic,Do you prefer your free time to be structured?  Explain.
13543,dz7,1992,because of the first publication of the complete human genome map and sequence. ,Female,Korean,Why was this topic (genetic discrimination) getting attention when Recer wrote this article?
39430,db4,5263,"People in Pittsburgh are the most friendly I have ever seen. So, I think this is very SPECIFIC in Pittsburgh I like it. ",,,What is something very specific that you like about Pittsburgh?
18301,br7,2627,"On top, there will be the annual interest charge, which Glaxo may opt to swap to a fixed rate charge rather than leave it open to fluctuation.",Female,Chinese,"fluctuation
changing between levels"
10214,dz9,1545," Aeschylus says, ""Very few people can congratulate without envy a friend who has succeeded."" (Greek playwright, 525-456 B.C.) I think a best friend is someone who can reveal everything about herself in front of you. Also, you should reveal everything about yourself. If you are her best friend, you should accept everything about her under any circumstances. Moreover, I think a best friend is someone who helps you when you are in trouble and worries about you as she does for her family. However, in fact, being a best friend is quite difficult for me. 

I have many friends who often email me and talk about our problems. If they are in trouble, I try to help them. If they are sick, I worry about them deeply. However, I might have a feeling like envy at her success if she is the only one who succeeds even though I make as much effort. When I think about my sister, I congratulate her with all my heart. These two feelings, which I have for my best friend and my sister, are quite different. If a best friend is someone who makes me feel the way that I do for my family, I don't have best friends now.  
",Female,Japanese,"Write an essay of two paragraphs about a friend.  Use adjective clauses.  This assignment is based on page 204 / exercise 10 in your grammar book, which has some suggestions and models."
36444,ed1,4957,"It is important to me that I meet new people so I always find someone who is very kind and has good sense of humor. when I met someone, I tried to talk each other to know his/her personality. If they were kind or enthusiastic that I felt, I would tried to meet them again. While I was hanging out with them, I asked them to know their information that they have taken such as what they have had hobbies, what they have been interested in. I strived for maintiang our relationship.",Male,Korean,Write about a relationship that is important to you.  How did you meet?  What were you doing?  Write about the things that you did together while getting to know each other.
28594,da9,3964,"In my opinion , driving a little faster than the speed limit is illegal because it not allowed by the laws and you can get ticket and also you can get an dangerous accident by driving in speed high or you will go in jail so you must drive in average speed.",Male,French,"In your opinion, is driving a little faster than the speed limit illegal?"
13230,dy7,1967,b,Female,Korean,"As long as (4)
a. the same length
b. since, because"
9169,fy5,1457,  There are three groups of automobile drivers.,Female,Korean,"4.  topic: automobile drivers
    thesis statement: ____________________________"
10625,cp8,1639,some CDs which I borrow from my friend.,Male,Turkish,I'm going to bring
33305,em5,4489,"Will, I don't know allot about this topic, but i think  if there is some country allowed to have this weapons as safety for them  like us. or Israel or Russia so I don't know why Iran  can't have it ?? if it will not allowed it should be not allowed for all countries in the world .
but for a good earth and life for everyone on the world, I heat weapons and wars , spicily  this kind of weapons because its too dangers for the human and whole environment, except if they used for some since or medicine to help the humanity , we need a peace life not a war life .",Female,Arabic,How should the world respond to the nuclear program in Iran?
20484,cl1,2815,"He's adapted to that and still done quite well for us,"" Loughran said.",Male,Arabic,adapted:  suitable for a particular situation or purpose
28584,gz4,3922,"The global economy has undergone many recessions during the past 100 years, 
which affected the economies in all countries around the world . One of the 
direct consequences of that recession is unemployment , which has social , 
economic and political effects on my country. 

Unemployment has a strongly negative influence on the society in Syria. It results in many catastrophic effects ; such as, raising the delinquency rate among people who can't find a decent job to earn their keep ;  increasing thefts ; poverty and drug addiction due to the frustration caused by looking for jobs in vain.All of which undermine the infrastructure of the community due to the increment of divorce cases and displacing more families. Unemployed parents tend to argue and quarrel because of the mental and psychological uneasiness caused by the feeling of helplessness.Since the budget barely suffices to feed the
family , children become victims of this ordeal. What will life be like to the children deprived from education and other rights that a child should have ?

As for the economic consequences, bankruptcy is considered one of the biggest 
problems that are related to unemployment.Bills keep coming 
regardless of  whether you have a job or not .As a result of bankruptcy ,
people can't pay car or house payments which leads to foreclosure. How will the future be to The young educated generation ? Those who spent bulk of their lives studying and hoping to fulfill their dreams in becoming effective members in their society , unfortunately, are shocked by a bitter reality when they can't even get a job that pays the minimum wage. This disappointment incites them to migrate abroad looking for better opportunities ,Bearing in mind that the majority of them stay there.This brain draining prevents Syria from taking advantage of their skills.

The third consequence is politics related , and it is represented by the 
pressure applied to the government by the people due to the lack of job 
opportunities and depletion of financial resources .Governments 
are expected to face any crisis and treat it with suitable means of 
management and planning.When the system can't achieve a progress , violence might erupt and bloody riot by protester could prevail in the streets.The country had witnessed a recession a long time ago , and that have led to some
drastic changes .The minister of treasury resigned as a consequence , and the ruling regime was close to be overthrown . 

It's clear that the effects of unemployment are hard to eliminate , but they 
could be reduced by implementing a wise plan to reassess the 
economy in Syria and revive it .Creating new investments and reinforcing the banking system is a good start. Immigrants can also be motivated to come back by
paving the investing road , and offering the incentive for them through
facilitating the investing progress , and granting them some
privileges.If the proper measures are not taken to face this problem ,
what will happen to this country ,which already has enough to worry
about ?
",Male,Arabic,Write your cause or effect essay. Be sure to clearly state in your thesis statement which is your focus. Give reasons and examples to support yopur main idea. You will be able to revise your draft later.
6506,ec9,1082,"only three percent of the world's 6,000 languages

are used",Male,Korean,"Look at the 2nd sentence in paragraph 1 (""According to estimates..."").  What is the subject of this sentence? What is the main verb?"
44194,bg2,5906,"2. I lived with my parents and my siblings, whom you have met.
5. My brother slept on the livening room coach where I hardly ever saw.
6. It was a large old coach which my father had made.
7. My best friend, who I loved her family, lived across the hall.
11. They sold delicious bread and cake that people stood in line for hours to buy the bread and cake.
12. My brother and sisters, whom I miss, live far away now.
",,,"Exercise 5: ID & non-ID AC (p.231) 
Combine the pairs of sentences.  Make the second sentence an adjective clause.  (Remember, the AC should follow the noun that it is describing.)  Omit relative pronouns when you can.  Use commas where appropriate."
29962,du2,4181,I'd like to do anything whatever I can do.But I think there is give money by myself.,Female,Chinese,How can you assist the people of Haiti?
5765,eu0,975,"        Sweet Basil is my favorite restaurant. It is in Bangkok in Thailand. It is a fusion Vietnamese restaurant. There are many kinds of cuisine. There are some kinds of roll such as fresh roll or grill roll. There are some kinds of the Vietnamese noodle. My favorite cuisine is pork ball with sweet souse. It makes from some pieces of ground pork mixing with onion, pepper, sugar and some of vegetables. I like it because its taste. I think that it is not a real Vietnamese cuisine. Cook may be makes it in a different style (fusion style). I went to that restaurant very often about once a week. My families also like this restaurant. That is why I like Sweet Basil restaurant.
",Male,Thai,"Write one paragraph about your favorite restaurant. 

Possible Ideas:
Why do you like it?  What kind of restaurant is it?  How often do you eat there?"
26582,gy1,3711,My house is locate on 5030 centre avenue .,Male,Thai,Write a sentence using a vocabulary word.
43817,cw4,5849,"A style of life is different from country to another country and each family has own system depends on the responsibilities of man and woman toward the children. Some people said that men are better parents than women. In my opinion, the women are better parents for the children than men. First,the time that woman stay with her child more than that with  man. The man usually goes outside the house to work. In that all time, the woman takes care and deals with her child for a long time. Second, because of this child is like a part of this woman, that means she will be more carefully dealing with the child than the man and she can feel exactly what the child feels. In the end,  men and women can be good parents for children but in my opinion, the men do not have the time and patience to give to the children.",,,"Choose one topic:
(A) Women are better parents than men.
(B) Men are better parents than women."
242,es9,31,"Here are a few instructions for typing in English. English sentences begin with a 
capital letter, and they usually end with a period. Hold the shift key down and type a 
letter to make a capital letter. Use the space bar to put one space between words. Also, 
put one space after a comma and two spaces after a period. Do nat put a space between a word and a comma or period. Do not hit the enter key at the end of a line.
Use the enter key when",Female,Korean,Type the given paragraph into microsoft word.  Copy and paste your typed paragraph into the homework submission site and submit it.
43470,fu4,5796,"                   A Cleaner Way to Shop?
      
         Online shopping is bad for the environment in air pollution .

I am agree this opinion. Because when the customers increase buy a lot of 

something .That due to increase in delivery by cars or airplans. Therefore the 

carbon dioxideis more. Which cause air pollution .
 ",,,"Chapter 5: ""A Cleaner Way to Shop?""  

Choose ONE of the reasons given in the reading about why online shopping is bad for the environment. Write one paragraph (6-8 sentences) explaining why you agree or disagree with the author. Did this reading change your opinion about online shopping?  Provide information from the reading in your answer. 

Be sure to answer both questions.  Please ask your teacher if you need any help."
35243,fj2,4817,"                             Succeeding in my Career

    Let your brain be like a sponge. These were my teacher's words when I first met her. When thinking about these words, I realize how important it is to absorb information, learn from other's experiences, keep educating myself, and stay open to the world around. Now, allow me to tell you a little bit about myself. I have always dreamed of becoming a successful person. I have been ambitious since I was a child. If I want to achieve something, I simply plan for it. Planning, Organizing, leading, and controlling are four secrets that I have used to achieve my goals. I've used these elements in every part of my life. They have become essential parts of my personality and I believe they will help me in my career. In fact, I have learned the importance of these elements when I studied business administration at the university.  I still recall the professor's advice. These words that have influenced me, when she said: ""The four elements or functions in any successful management are: planning, Organizing, leading, and controlling"". 
    The first key to success in life is to plan for it. I've always known this secret and used it all the time. When I put a plan, I state my objects .I evaluate my resources, my abilities, and the outside factors that can affect my decision. Taking all these things in consideration has helped me to manage my life.  In addition, putting a scenario for what may happen in the future contributes in helping me to predict the potential risks, measure them, and be prepared all the time. I believe that planning is an essential concept in the field of management and having this skill will help me to success in this field.
    In addition, organizing is an important element which relates to planning. After I plan for something, I organize my resources. I identify the actions and the tasks that need to be done to achieve my ultimate goal. A simple example for the use of organizing in my life is organizing or managing my time. Like any resource, time is very important and it plays a vital role especially in the field of management. I believe that my extensive education in the field of business administration has made me more aware of the importance of time. In fact, I have learned that time is as important as the financial resources or the human resources. Being aware of the importance of time has helped me to increase the efficiency in achieving my desirable results.
    Moreover, another necessary skill that managers need is the leadership skill. From my perspective, the successful leader is the one who sits directions and guidelines for others to accomplish the organization's goals. He listens to others, realizes and appreciates the importance of their opinions, and knows when to use these opinions. I realize the importance of the leading skill and the influence of good leaders on the job quality. I believe that my ability to work under pressure, encourage myself, encourage others, listen to them and persuade them will help me to become a good leader.
    Nevertheless, none of the previously mentioned skills will work effectively without the use of the controlling function. Controlling means making sure that goals are being achieved according to the plan, and making corrections if needed. This skill has helped me to stay on the right way because I always have feedback about my performance.
    Finally and in one word, Planning, organizing, leading, and controlling are four skills that have helped me to success in life and I believe they will help me to success in my career. In addition to that, I always try to improve myself because I strongly believe that that we are not separated from this world, and in light of the rapid progress in society, people who don't advance will retreat back.
",,,"Submit the first draft of your individual classification essay (""Succeeding in my Career""). Refer to the classification organization outline on p.121 of your textbook to be certain you've included all components."
17978,ct1,2561,"Main Entry: 
1vi-o-late  
Pronunciation:         
\\v--lt\\ 
Function: 
transitive verb 
Inflected Form(s): 
vi-o-lat-ed; vi-o-lat-ing 
Etymology: 
Middle English, from Latin violatus, past participle of violare, from viol- (as in violentus violent) 
Date: 
15th century 
1: BREAK, DISREGARD <violate the law>2: to do harm to the person or especially the chastity of; specifically : RAPE 23: to fail to show proper respect for : PROFANE <violate a shrine>4: INTERRUPT, DISTURB <violate the peace of a spring evening ? Nancy Larter>
? vi-o-la-tive  \\-l-tiv\\ adjective 
? vi-o-la-tor  \\-l-tr\\ noun 
Main Entry: 
2vi-o-late  
Pronunciation: 
\\v--lt\\ 
Function: 
adjective 
Date: 
15th century 
archaic : subjected to violation


",Female,Other,violate
40460,br9,5415,"Whenever B tastes something, B also sees a particular color or combination of colors. For example, B always sees golden yellow color when he eats an apple.",Female,Chinese,Synesthete B.  Senses that are hooked--SIGHT AND TASTE.
7410,ah6,1204,I will clean my room,,,"Before my family comes to visit, _____."
45938,bs2,6097,"Third, ELI teachers is qualified with high standards of teaching. Teachers trying to focus on the modern techniques of teaching. First of all, they give students new vocabulary words every week and let them memorize it, spell it, and use it in sentences. Next, they give students homework every day to make students lern in classes and outside classes. Also they combine between listening, speaking, reading, and writing in every single class. For example, in reading class, teacher let students speak, and she make corrections for them. Teaching is a complete system that work together to make students live all communicating skills at the same time, so students can improve their skills quickly.
",,,Choose one (1) of the subtopics and write one (1) body paragraph
24792,dq9,3426,"A House or An Apartment, Which Would You Prefer to Live into?

The article Easy Living Sherpa write: ""Owning a home has been romanticized and called the ""dream"" of every American.""(Easy Living Sherpa, Wednesday, June 17, 2009). It's evident that everyone yearns to possess a house or an apartment. In people's whole life, most people will spend their half life time to stay at home, in where we enjoy with our families, we feel delighted and leisure by our private space. We will feel free to do our favorite relaxations. A satisfied house or an apartment can cheer you up. However, a house or an apartment, which would you prefer to live into? That will depend on your economy, your lifestyle and the housework you will have. These three aspects will affect your decision.

One of reasons that people give for not owning a home is they feel that they don't have enough money for a down payment. Houses are too expensive or they don't feel they have good enough credit. Buying and owning a home takes more work than renting. (Easy Living Sherpa, Wednesday, June 17, 2009).  Almost houses will spend your huge money to buy. Even you have bought a new house, the following things that you have to think about are yard, decoration and furniture. These also will spend you a considerable amount of money. Comparing a house, an apartment will be cheaper to buy. Because the area of an apartment is smaller than a house, the spending of decoration and furniture will be less, and you do not have a yard, so you will pay nothing for it. If people pay great attention on the money problem, they would prefer an apartment. Personal economic condition is one aspect that affects people's preference. 

Another aspect is personal lifestyle. People have varied personal lifestyle. Some like to be quiet, some like to live with others. If you live in a house, you will have a wide, private living space, a yard and a parking space. You will be free to do anything that you would like. You don't need to worry about disturbing your neighbor when you sing or vacuum or have a party in your home. You also don't fear to be disturbed by your neighbor. On the contrary, living in an apartment, you always care about whether your action will annoy you neighbor. You still mind that you are annoyed. For example, I am living in an apartment, my neighbor is a young lady. Sometimes, she comes back home very late at night, when I fall asleep, she comes back home, then I awake to the sound of toilet flushing, walking and washing. If you live in a house, you certainly do not suffer this. If you like quiet, private living environment, to buy a house is a good choice. 

The finally aspect is housework. It's obvious, living in a house, you will involve in a amount of housework. You need to mow and water your glass, to root out the weeds, to trim trees, to plant flower, to paint the wall of house and so on. All these labor work are hard and bored, but you have to do. If you live in an apartment, you will be free from these chores. You will have a lot of personal leisure time to entertain. If you are weary of this housework, you would prefer an apartment.

Living in a house and living in an apartment both exist in advantages and disadvantages. Nevertheless, I think the economy, the lifestyle and the housework that you have to do are main aspects that will be the determinant which influence your decision. 
",Female,Chinese,xx
16188,aj9,2387,"Due to the corruption that affects a lot of the Third World countries, many poor people can't have access to the principal benefits that Western countries recognize as human rights.",Male,Italian,"Use ""Due to"" to begin a sentence about the cause(s) of a social problem in your country (or some other country)."
34172,bw5,4675,"Before enter a Japanese tea house, take off your shoes.
Sit in the proper position,after begin the ceremony.
After you drink the tea, pass the bowl to the next person
As soon as you pour hot water into the tea bowl, stir the mixture.
Before taste the tea, admire the design of the next person.",Male,Arabic,"Ex. 2 p. 53
Combine each pair of sentences to create a single sentence with a time clause and a main clause.  Use the words in parentheses.  Write the sentences in two ways.

1.  Take off your shoes.  Enter a Japanese tea house. (before)

2.  Begin the ceremony.  Sit in the proper position.  (after)

3.  Pour hot water into the tea bowl. Stir the mixture.  (as soon as)

4.  Admire the design of the bowl.  Taste the tea.  (before)

5.  Pass the bowl to the next person.  Drink the tea.  (after)"
36730,cv1,4998,"Being creative in schools is necessary, since children spend most of their time in schools. Not that creativity could be taught at schools, but rather encouraged and nurtured. That can't be attained unless teachers and students put aside the textbooks and prescribed curricula and authentically engage children in learning.",,,"According to the article, many American children are never creative in today's schools.  Do you believe that being creative in school is necessary?  Why or why not?"
43423,cc6,5769,"Since there is a high demand for new housing, the construction industry is thriving.",,,The construction industry is thriving.  There is a high demand for new housing.  (since)
44787,eu7,5936,F.They are think that Pittsburgh still has a lot of air pollution.,,,[C / F]  They think that Pittsburgh still have a lot of air pollution.
3780,et1,463,"In my case, a friend is someone who is a swimmer or used to be a swimmer.  One of my best friends who is living in Toronto was my rival for over 10 years.  Even though we were competitors each other, we became good friends.  Another best friend, whose name is Goon Hak, was also a swimmer.  Goon Hak, who knows everything about me, was my classmate in the elementary school.  Since then, we've been best friends.  Kyung Soo who was my roommate in my high school's dormitory is still a swimmer.  He isn't considering quitting swimming.  We usually drink beer together.  Therefore, most of my best friends are related with swimming. ",Male,Korean,Write a short paragraph (8-10 sentences) about a friend.  Use adjective clauses with subject relative pronouns.  See ex. 10 p. 204 for an example.
33879,bj2,4623,He expresses his opinion about international politics by knowing which is the situation in this country. ,Male,Spanish,EXPRESS
